ISPU PM2.5,prediksi_pm25,residual,abs_error,kategori_aktual,kategori_prediksi
76.88488,73.93796,2.9469223,2.9469223,Sedang,Sedang
63.122784,57.98648,5.136303,5.136303,Sedang,Sedang
85.72601,69.14939,16.576622,16.576622,Sedang,Sedang
85.58765,78.85618,6.731468,6.731468,Sedang,Sedang
72.494705,78.76755,-6.2728424,6.2728424,Sedang,Sedang
75.57524,71.98631,3.5889282,3.5889282,Sedang,Sedang
74.04067,83.24064,-9.199966,9.199966,Sedang,Sedang
71.30408,73.95122,-2.6471405,2.6471405,Sedang,Sedang
77.18504,77.58913,-0.40408325,0.40408325,Sedang,Sedang
77.014,86.72796,-9.713959,9.713959,Sedang,Sedang
82.41915,86.37216,-3.9530106,3.9530106,Sedang,Sedang
82.84413,83.21641,-0.3722763,0.3722763,Sedang,Sedang
93.17574,80.52435,12.65139,12.65139,Sedang,Sedang
94.432755,83.299446,11.133308,11.133308,Sedang,Sedang
79.1254,68.98536,10.140038,10.140038,Sedang,Sedang
71.72542,76.55538,-4.8299637,4.8299637,Sedang,Sedang
78.054405,79.66307,-1.6086655,1.6086655,Sedang,Sedang
